"codprov_correo","provincia_correo","partido_correo","localidad_correo","cp_correo","codprov_ign","provincia_ign","coddepto_ign","departamento_ign"
"06","Buenos Aires","ADOLFO ALSINA","ARANO",6443,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","TRES LAGUNAS",6443,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CANONIGO GORRITI",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","SAN ANTONIO",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","COLONIA SANTA MARIANA",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","VILLA MARGARITA",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","MONTE FIORE",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","LA FLORIDA",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","ESTEBAN A GASCON",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","SAN MIGUEL ARCANGEL",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","COLONIA LAPIN",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","COLONIA PHILLIPSON 1",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","DELFIN HUERGO",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","COLONIA LEVEN",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","COLONIA LA ESTRELLA",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CAMPO SAN JUAN",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CAMPO LOS AROMOS",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CAMPO LA ZULEMA",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CAMPO DEL NORTE AMERICANO",8185,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","CAÑADA MARIANO",8183,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","AVESTRUZ",8183,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
"06","Buenos Aires","ADOLFO ALSINA","ARTURO VATTEONE",6433,"06","BUENOS AIRES","06007","ADOLFO ALSINA"
