"provincia","id","localidad","partido","municipio","cp","latitud","longitud","id_prov_mstr"
"Ciudad Autonoma de Buenos Aires","5001","Ciudad Autonoma de Buenos Aires","CAPITAL FEDERAL","","","","","02"
"Buenos Aires","16489","11 DE SEPTIEMBRE","TRES DE FEBRERO","TRES DE FEBRERO","1657","-34.5663143","-58.6183601","06"
"Buenos Aires","18312","12 DE AGOSTO","PERGAMINO","","2701","-33.7823763","-60.5927281","06"
"Buenos Aires","2493","12 DE OCTUBRE","9 DE JULIO","9 DE JULIO","6501","-35.6067772","-60.9175339","06"
"Buenos Aires","32856","13 DE ABRIL","LINCOLN","LINCOLN","6453","","","06"
"Buenos Aires","28200","16 DE JULIO","AZUL","AZUL","7313","-37.2005300","-60.1646870","06"
"Buenos Aires","4409","17 DE AGOSTO","PUAN","PUAN","8129","-37.9101028","-62.9352493","06"
"Buenos Aires","16497","20 DE JUNIO","LA MATANZA","LA MATANZA","1761","-34.7795131","-58.7353099","06"
"Buenos Aires","2464","25 DE MAYO","25 DE MAYO","25 DE MAYO","6660","-35.4330482","-60.1733131","06"
"Buenos Aires","4852","30 DE AGOSTO","TRENQUE LAUQUEN","TRENQUE LAUQUEN","6405","-36.2742641","-62.5449691","06"
"Buenos Aires","33080","30 DE DICIEMBRE","BOLIVAR","BOLIVAR","6511","","","06"
"Buenos Aires","4573","4 DE NOVIEMBRE","ROJAS","","2707","-34.1497078","-60.7929268","06"
"Buenos Aires","5049","9 DE ABRIL","ESTEBAN ECHEVERRIA","ESTEBAN ECHEVERRIA","1776","-34.7565076","-58.4902924","06"
"Buenos Aires","2494","9 DE JULIO","9 DE JULIO","9 DE JULIO","6500","-35.4453163","-60.8866844","06"
"Buenos Aires","33281","9 DE JULIO","CHASCOMUS","CHASCOMUS","7130","","","06"
"Buenos Aires","3723","ABASTO","LA PLATA","LA PLATA","1903","-34.9832916","-58.0928040","06"
"Buenos Aires","3527","ABBOTT","MONTE","MONTE","7228","-35.2815514","-58.8032150","06"
"Buenos Aires","4263","ABEL","PEHUAJO","","6450","-35.6174237","-62.0047019","06"
"Buenos Aires","4602","ABRA DE HINOJO","SAAVEDRA","","8170","-37.7242207","-62.1018999","06"
"Buenos Aires","4695","ACASSUSO","SAN ISIDRO","SAN ISIDRO","1640","-34.4799000","-58.5040000","06"
"Buenos Aires","4779","ACEILAN","TANDIL","","7003","","","06"
"Buenos Aires","4302","ACEVEDO","PERGAMINO","PERGAMINO","2717","-33.7551346","-60.4401436","06"
"Buenos Aires","33533","ACHALAY","LAPRIDA","LAPRIDA","7414","","","06"
"Buenos Aires","32914","ACHAVAL","GENERAL VIAMONTE","GENERAL VIAMONTE","6015","","","06"
"Buenos Aires","28198","ACHUPALLAS","ALBERTI","ALBERTI","6627","-35.1098960","-60.0701930","06"
"Buenos Aires","3063","ADELA","CHASCOMUS","CHASCOMUS","7136","-35.6849316","-57.9530315","06"
"Buenos Aires","4410","ADELA SAENZ","PUAN","","8129","","","06"
"Buenos Aires","2533","ADOLFO ALSINA","ADOLFO ALSINA","","6430","","","06"
"Buenos Aires","2580","ADOLFO GONZALES CHAVES","ADOLFO GONZALES CHAVES","ADOLFO GONZALES CHAVES","7513","-38.0279579","-60.1006660","06"
"Buenos Aires","26305","ADROGUE","ALMIRANTE BROWN","ALMIRANTE BROWN","1846","-34.7989212","-58.3958774","06"
"Buenos Aires","28077","AEROCLUB 25 DE MAYO","25 DE MAYO","25 DE MAYO","6660","-35.4489638","-60.0866252","06"
"Buenos Aires","28076","AEROCLUB BOLIVAR","BOLIVAR","BOLIVAR","6550","-36.1890301","-61.0741639","06"
"Buenos Aires","28075","AEROCLUB CARLOS CASARES","CARLOS CASARES","CARLOS CASARES","6530","-35.6293787","-61.3921874","06"
"Buenos Aires","28083","AEROCLUB GENERAL BELGRANO","GENERAL BELGRANO","GENERAL BELGRANO","7223","-35.7520340","-58.4632924","06"
"Buenos Aires","28094","AEROCLUB GENERAL MADARIAGA","GENERAL MADARIAGA","GENERAL MADARIAGA","7163","-37.0388865","-57.1378104","06"
"Buenos Aires","28080","AEROCLUB LAPRIDA","LAPRIDA","LAPRIDA","7414","-37.5196884","-60.7777909","06"
"Buenos Aires","28074","AEROCLUB PEDRO LURO","VILLARINO","VILLARINO","8148","-39.4552667","-62.6730677","06"
"Buenos Aires","28079","AEROCLUB SALADILLO","SALADILLO","SALADILLO","7260","-35.6062243","-59.8127342","06"
"Buenos Aires","28113","AEROCLUB TRES LOMAS","TRES LOMAS","TRES LOMAS","6409","-36.4438204","-62.8801230","06"
"Buenos Aires","28088","AEROCLUB VERONICA","MAGDALENA","","1917","-35.4008076","-57.3679875","06"
"Buenos Aires","28087","AERODROMO DE AYACUCHO","AYACUCHO","AYACUCHO","7150","-37.1637489","-58.4720450","06"
"Buenos Aires","28095","AERODROMO DE BALCARCE","BALCARCE","BALCARCE","7620","-37.9156456","-58.3454640","06"
"Buenos Aires","28110","AERODROMO DE CARHUE","ADOLFO ALSINA","ADOLFO ALSINA","6430","-37.1938605","-62.7818642","06"
"Buenos Aires","28091","AERODROMO DE CHASCOMUS","CHASCOMUS","CHASCOMUS","7130","-35.5413134","-58.0525311","06"
"Buenos Aires","28120","AERODROMO DE CORONEL SUAREZ","CORONEL SUAREZ","CORONEL SUAREZ","7540","-37.4468383","-61.8920758","06"
"Buenos Aires","28082","AERODROMO DE GONZALES CHAVES","ADOLFO GONZALES CHAVES","ADOLFO GONZALES CHAVES","7513","-38.0293959","-60.1348209","06"
"Buenos Aires","28081","AERODROMO DE LAS FLORES","LAS FLORES","LAS FLORES","7200","-36.0673386","-59.1033503","06"
"Buenos Aires","28078","AERODROMO DE LOBOS","LOBOS","LOBOS","7240","-35.2096148","-59.1376849","06"
"Buenos Aires","28108","AERODROMO DE MIRAMAR","GENERAL ALVARADO","GENERAL ALVARADO","7607","-38.2260938","-57.8717372","06"
"Buenos Aires","28111","AERODROMO DE PIGUE","SAAVEDRA","SAAVEDRA","8170","-37.6057727","-62.3797564","06"
"Buenos Aires","28109","AERODROMO DE PUAN","PUAN","PUAN","8180","-37.5387214","-62.7346296","06"
"Buenos Aires","28084","AERODROMO DE RAUCH","RAUCH","RAUCH","7203","-36.7720390","-59.0579698","06"
"Buenos Aires","28114","AERODROMO DE SAAVEDRA","SAAVEDRA","SAAVEDRA","8174","-37.7496959","-62.3335733","06"
"Buenos Aires","28112","AERODROMO DE SALLIQUELO","SALLIQUELO","SALLIQUELO","6339","-36.7566793","-62.9438983","06"
"Buenos Aires","28097","AERODROMO DE SAN CAYETANO","SAN CAYETANO","SAN CAYETANO","7521","-38.3344127","-59.6305750","06"
"Buenos Aires","28072","AERODROMO DE STROEDER","PATAGONES","CARMEN DE PATAGONES","8508","-40.2106526","-62.6201918","06"
"Buenos Aires","32623","AEROP SAN LUIS","PATAGONES","CARMEN DE PATAGONES","8142","","","06"
"Buenos Aires","28096","AEROPUERTO DE VILLA GESELL","VILLA GESELL","VILLA GESELL","7165","-37.2349085","-57.0297455","06"
"Buenos Aires","16464","AEROPUERTO EZEIZA","EZEIZA","EZEIZA","1802","-34.8128216","-58.5521650","06"
"Buenos Aires","28232","AGOTE","MERCEDES","MERCEDES","6600","-34.6414160","-59.3544920","06"
"Buenos Aires","2712","AGUARA","BAHIA BLANCA","","8105","","","06"
"Buenos Aires","4303","AGUAS CORRIENTES","PERGAMINO","","2701","","","06"
"Buenos Aires","28050","AGUAS VERDES","LA COSTA","LA COSTA","7112","-36.6371259","-56.6848594","06"
"Buenos Aires","4519","AGUIRREZABALA","RAMALLO","","2915","","","06"
"Buenos Aires","2465","AGUSTIN MOSCONI","25 DE MAYO","25 DE MAYO","6667","-35.7392170","-60.5590635","06"
"Buenos Aires","3683","AGUSTIN ROCA","JUNIN","JUNIN","6001","-34.5056343","-60.8589859","06"
"Buenos Aires","3684","AGUSTINA","JUNIN","JUNIN","6001","-34.4563866","-61.0731926","06"
"Buenos Aires","4264","ALAGON","PEHUAJO","","6463","","","06"
"Buenos Aires","3648","ALAMOS","GUAMINI","","6437","-36.8990175","-62.3602697","06"
"Buenos Aires","3884","ALASTUEY","LUJAN","","6703","-34.4620750","-59.1743952","06"
"Buenos Aires","4265","ALBARIÑO","PEHUAJO","","6405","","","06"
"Buenos Aires","3801","ALBERDI VIEJO","LEANDRO N ALEM","LEANDRO N ALEM","6034","-34.4418900","-61.8463201","06"
"Buenos Aires","2586","ALBERTI","ALBERTI","ALBERTI","6634","-35.0333585","-60.2792591","06"
